Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA1359	4-aminobutyrate aminotransferase	molecular	Mus musculus	male/female	3	23		Hematological System	Abat (4-aminobutyrate aminotransferase)		equation	Gene Expression Level	20	Microarray	Log2	45.0	0.0002766321860853940000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA318	5'-3' exoribonuclease 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ERI1 (exoribonuclease 1)		equation	Gene Expression Level	0	Microarray	Log	4.0	0.0001311467447210450000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)
DAA1973	5-hmC increase in cerebrellum	molecular	Mus musculus	male/female	1	24	5' hydroxymethyl cytosine (5-hmC) increases from 6 weeks to 1 year (21.1% increase, P < 0.05) in cerebellum.	Cerebellum													2818: Szulwach et al. (2011) "5-hmC-mediated epigenetic dynamics during postnatal neurodevelopment and aging."  Nat. Neurosci. 14(12):1607-1616 (22037496)
DAA350	5'-nucleotidase, cytosolic II	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	NT5C2 (5'-nucleotidase, cytosolic II)		equation	Gene Expression Level	0	Microarray	Log	5.0	0.0001822616965837120000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA335	6-pyruvoyltetrahydropterin synthase	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	PTS (6-pyruvoyltetrahydropterin synthase)		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0002364683690772780000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1512	7-dehydrocholesterol reductase	molecular	Mus musculus	male/female	6	22		Liver	Dhcr7 (7-dehydrocholesterol reductase)		equation	Gene Expression Level	20	Microarray	Log2	19.0	0.0001309825654843680000000				1334: Papaconstantinou et al. (2005) "Hepatic gene and protein expression of primary components of the IGF-I axis in long lived Snell dwarf mice."  Mech. Ageing Dev. 126(6-7):692-704 (15888324)|2981: NCBI GEO Dataset (2005) "Age effect on livers of long-lived Snell dwarf mutants"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019)
DAA1717	abhydrolase domain containing 14A	molecular	Mus musculus	male/female	8	24		Muscle	Abhd14a (abhydrolase domain containing 14A)		equation	Gene Expression Level	20	Microarray	Log2	-3.0	0.0008633054164628650000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA1	abhydrolase domain containing 14A	molecular	Homo sapiens	male/female	26	106		Brain	ABHD14A (abhydrolase domain containing 14A)		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0005255809697502760000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA905	Ability to secrete acid load decreases	physiological	Homo sapiens	male/female	-1	-1	The kidney's ability to secrete acid load decreases with age.	Kidney													2807: McLachlan (1978) "The ageing kidney."  Lancet 2(8081):143-145 (78337)|2883: Adler et al. (1968) "Effect of acute acid loading on urinary acid excretion by the aging human kidney."  J. Lab. Clin. Med. 72(2):278-289 (5671202)
DAA2	abl-interactor 2	molecular	Homo sapiens	male/female	26	106		Brain	ABI2 (abl-interactor 2)		equation	Gene Expression Level	0	Microarray	Log	-18.0	0.0000089696988989750000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA814	Abnormal labored breathing index	physiological	Homo sapiens	male/female	-1	-1	Labored breathing index becomes increasingly abnormal with age.	Respiratory System													2746: Britto et al. (2009) "Effects of the aging process on respiratory function."  Gerontology 55(5):505-510 (19713688)
DAA723	Accumulation of extracellular neuritic plaques	physiological	Homo sapiens	male/female	-1	-1	Though particularly associated with the pathological features of dementias like Alzheimer's, plaques like amyloid deposits are present in individuals without overt neuropathology and appear to be a feature of normal ageing.	Brain												DAA1996	2906:  (2007) "Physiological Basis of Aging and Geriatrics, Fourth Edition" 76
DAA868	Accumulation of indigestible materials in lysosomes	physiological	Homo sapiens	male/female	-1	-1	I.e. liposfucsin, \aging pigments\". These accumulated materials are hypothesized to contribute to the reduced elimination of autophagosomes."	Whole Body		Cellular										DAA864,DAA873	2800: Martinez-Vicente et al. (2005) "Protein degradation and aging."  Exp. Gerontol. 40(8-9):622-633 (16125351)
DAA722	Accumulation of neuromelanin in dopaminergic nigral neurons	physiological	Homo sapiens	male	3	-1	Neuromelanin formation in the dopaminergic neurons of the substantia nigra exhibit various developmental phases. The proportion of the cell occupied by the pigment remains constant in adults. However both biochemical measurements of solublized neuromelanin and direct counts of isolated pigment granule numbers using flow cytometry indicate that the amount of pigment progressively increases with advanced age.	Substantia Nigra		Cellular											2668: Fedorow et al. (2006) "Evidence for specific phases in the development of human neuromelanin."  Neurobiol. Aging 27(3):506-512 (15916835)|2789: Halliday et al. (2005) "Alpha-synuclein redistributes to neuromelanin lipid in the substantia nigra early in Parkinson's disease."  Brain 128(Pt 11):2654-2664 (16000336)|2910: Zecca et al. (2002) "The absolute concentration of nigral neuromelanin, assayed by a new sensitive method, increases throughout the life and is dramatically decreased in Parkinson's disease."  FEBS Lett. 510(3):216-220 (11801257)|2961: Double et al. (2008) "The comparative biology of neuromelanin and lipofuscin in the human brain."  Cell. Mol. Life Sci. 65(11):1669-1682 (18278576)
DAA2061	acetyl-Coenzyme A carboxylase alpha increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of ACACA in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ACACA (acetyl-CoA carboxylase alpha)			Gene Expression Level	None	None	None	63.0	0.0092700000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA383	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ANP32B (acidic (leucine-rich) nuclear phosphoprotein 32 family, member B)		equation	Gene Expression Level	0	Microarray	Log	4.0	0.0000722946185493914000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA3	actin, alpha 1, skeletal muscle	molecular	Homo sapiens	male/female	26	106		Brain	ACTA1 (actin, alpha 1, skeletal muscle)		equation	Gene Expression Level	0	Microarray	Log	-16.0	0.0000589751329371801000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1845	actin, alpha 1, skeletal muscle	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Acta1 (actin, alpha 1, skeletal muscle)		equation	Gene Expression Level	20	Microarray	Log2	55.0	0.0002590220126895620000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA1718	actin, alpha, cardiac muscle 1	molecular	Mus musculus	male/female	8	24		Muscle	Actc1 (actin, alpha, cardiac muscle 1)		equation	Gene Expression Level	20	Microarray	Log2	-13.0	0.0009944115718891800000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA393	actin, alpha, cardiac muscle 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ACTC1 (actin, alpha, cardiac muscle 1)		equation	Gene Expression Level	0	Microarray	Log	8.0	0.0001532319777618780000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA4	actin, beta	molecular	Homo sapiens	male/female	26	106		Brain	ACTB (actin, beta)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0005454210303924640000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA538	actin binding LIM protein 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ABLIM1 (actin binding LIM protein 1)		equation	Gene Expression Level	0	Microarray	Log	4.0	0.0007607396485463470000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA450	actin binding LIM protein family, member 2	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ABLIM2 (actin binding LIM protein family, member 2)		equation	Gene Expression Level	0	Microarray	Log	5.0	0.0000073099055901475000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)
DAA5	actin-like 6A	molecular	Homo sapiens	male/female	26	106		Brain	ACTL6A (actin-like 6A)		equation	Gene Expression Level	0	Microarray	Log	21.0	0.0001253879886187490000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA542	actin related protein 2/3 complex, subunit 5-like	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ARPC5L (actin related protein 2/3 complex, subunit 5-like)		equation	Gene Expression Level	0	Microarray	Log	-2.0	0.0002715093060824970000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1336	activated leukocyte cell adhesion molecule	molecular	Mus musculus	male/female	3	23		Hematological System	Alcam (activated leukocyte cell adhesion molecule)		equation	Gene Expression Level	20	Microarray	Log2	15.0	0.0009345973276197210000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA761	Activation threshold for long-term potentiation is increased	psychological	Homo sapiens	male/female	-1	-1	A greater stimulation is necessary for long-term potentiation in older subjects.	Brain												DAA754	2672: Toescu and Verkhratsky (2007) "The importance of being subtle: small changes in calcium homeostasis control cognitive decline in normal aging."  Aging Cell 6(3):267-273 (17517038)
DAA2062	activin A receptor, type IB increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of ACVR1B in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ACVR1B (activin A receptor, type IB)			Gene Expression Level	None	None	None	51.0	0.0099100000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA622	Acute myocardial infarction	pathological	Homo sapiens	male/female	18	85		Heart				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA618	Acute rheumatic fever and chronic rheumatic heart diseases	pathological	Homo sapiens	male/female	18	85		Heart, Skin, Brain				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA1335	acyl-CoA synthetase medium-chain family member 2	molecular	Mus musculus	male/female	3	23		Hematological System	Acsm2 (acyl-CoA synthetase medium-chain family member 2)		equation	Gene Expression Level	20	Microarray	Log2	-29.0	0.0001194918922646140000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA1391	acyl-CoA synthetase short-chain family member 1	molecular	Mus musculus	male/female	2	15		Hippocampus	Acss1 (acyl-CoA synthetase short-chain family member 1)		equation	Gene Expression Level	20	Microarray	Log2	-2.0	0.0005395113423528320000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA1630	acyl-CoA thioesterase 7	molecular	Mus musculus	male/female	2	26		Lung	Acot7 (acyl-CoA thioesterase 7)		equation	Gene Expression Level	20	Microarray	Log2	-3.0	0.0001235725207575550000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA447	ADAM metallopeptidase with thrombospondin type 1 motif, 5	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ADAMTS5 (ADAM metallopeptidase with thrombospondin type 1 motif, 5)		equation	Gene Expression Level	0	Microarray	Log	7.0	0.0000371623120148820000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1520	adaptor protein complex AP-2, mu1	molecular	Mus musculus	male/female	6	22		Liver	Ap2m1 (adaptor protein complex AP-2, mu1)		equation	Gene Expression Level	20	Microarray	Log2	1.0	0.0000609098627661142000000				1334: Papaconstantinou et al. (2005) "Hepatic gene and protein expression of primary components of the IGF-I axis in long lived Snell dwarf mice."  Mech. Ageing Dev. 126(6-7):692-704 (15888324)|2981: NCBI GEO Dataset (2005) "Age effect on livers of long-lived Snell dwarf mutants"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019)
DAA396	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	APPL1 (adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0009216076840935090000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA12	adaptor-related protein complex 1, sigma 1 subunit	molecular	Homo sapiens	male/female	26	106		Brain	AP1S1 (adaptor-related protein complex 1, sigma 1 subunit)		equation	Gene Expression Level	0	Microarray	Log	-12.0	0.0003474762885850000000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA2132	adenylate kinase 3-like 2; adenylate kinase 3-like 1 increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of AK4P3 in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	AK4P3 (adenylate kinase 4 pseudogene 3)			Gene Expression Level	None	None	None	54.0	0.0028400000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
